Checklist for Artic Field Sequencing Kit  (x100 Seq Samples),,,,,,,,,
Portable glove box (sample prep),Amazon,https://www.amazon.co.uk/Black-Orchid-50x50x100-Hydroponics-Hydroponic/dp/B01B1MGRR0/ref=sr_1_5?ie=UTF8&qid=1516896486&sr=8-5&keywords=grow+tent,,,,1.00,,,"Recommend taking 2 of these hoods, to prevent cross contamination, one for PCR mastermixing and one for sample prep. Also recommend replacing metal frame with uPVC"
Portable glove box (PCR prep),Amazon,https://www.amazon.co.uk/Black-Orchid-50x50x100-Hydroponics-Hydroponic/dp/B01B1MGRR0/ref=sr_1_5?ie=UTF8&qid=1516896486&sr=8-5&keywords=grow+tent,,,,1.00,,,See above.
Bench mats,,E3860-0061,StarLab,£24.95 ,1.00,4.00,,,"Rubber bench mats for working both in the hoods and outside, can be chemically treated or UV-treated without degradation, and prevents the need for paper towelling or bench-coat transport. Rolls to 1inch bundle, so not space consuming. "
Decon wipes,,PMC6038,MediPal,£5.64 ,240.00,2.00,,,"Pathogen inactivation, so potentially not required for sequencing run only. "
,,,,,,,,,
Sequencing Consumables,,,,,,,,,
Reagent,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,
1000uL F/tips,,,,,,1000.00,,,"Takes approximately 8x1mL tips per single sample preparation, so recommend 20% redundancy. Suggest taking 1-2 boxes of tips plus bagged backups to save space. "
100uL F/tips,,,,,,2000.00,,,Takes approximately 18x100uL tips per single sample prep. Suggest taking 1-2 boxes of tips plus bagged backups to save space. 
10uL F/tips,,,,,,2000.00,,,Takes approximately 17x10uL tips per single sample prep. Suggest taking 1-2 boxes of tips plus bagged backups to save space. 
200uL StripTubes,,,,,,500.00,,,"Including PCR, takes 4 tubes per single sample prep"
1mL Tubes,,,,,,800.00,,,"For cleanups. Takes 4 tubes per single sample prep, plus 3 tubes for mastermixing"
200ul Tubes,,,,,,500.00,,,"Individual PCR backups and mastermix prep, takes 4 tubes per sample. "
Qubit Reaction Tubes,,,,,,500.00,,,"Takes 3 tubes per sample, plus 2 tubes per run for controls and calibration. "
Disposal boxes,,,,,,10.00,,,Each box takes approximately 15 samples worth of tips. 
Zip ties (large),Amazon,https://www.amazon.co.uk/Aptii-Cable-5-0mm-LARGE-Black/dp/B005M1LU8I/ref=sr_1_2?s=computers&ie=UTF8&qid=1516808291&sr=1-2&keywords=large+zip+ties,,,,50.00,,,Don't leave home without them. 
Zip ties (small),Amazon,https://www.amazon.co.uk/Aptii-Cable-2-5mm-Black-Small/dp/B005M1NF04/ref=sr_1_1?s=computers&ie=UTF8&qid=1516808327&sr=1-1&keywords=small+zip+ties,,,,50.00,,,
Gloves (large),,,,,,200.00,,,"Each sample set takes 4 pairs of gloves, 2 for each hood. "
Gloves (small),,,,,,200.00,,,If you have dainty hands. 
Paper towels,,,,,,1.00,,,"Roll of paper towelling, always the most reliable way of cleaning stuff. "
,,,,,,,,,
Sequencing Machines,,,,,,,,,
Reagent,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,
miniPCR (x4),,,,,,4.00,,,"Simplest means of 8-strip amplifications and also a good heat-block source. Runs on minimal power, and compact. "
MyGoMini qPCR,,,,,,1.00,,,"qPCR, PCR and heatblock in one, does 16 samples per reaction, compact, approximately the size of 2xMiniPCR"
Magnetic Rack (DynaMag-2),,12321D,ThermoFisher,£426.26 ,16.00,1.00,,,"Still the best magnetic rack, though it's expensive. Does 16 samples per cleanup, magnet is better than most I have tried. "
Magnetic Rack (DynaMag-96),,12321D,ThermoFisher,£534.17 ,96.00,1.00,,,"96 well alternative for use with large scale preparations. Would have to include 96 well plates, which is fine, could replace strip tubes with PCR plates in a pinch. "
Qubit 4 (NGS Starter kit),,Q33228,ThermoFisher,"£2,577 ",500.00,1.00,,,See earlier. 
minIONs (x4),,See previous,,,,4.00,,,See earlier. 
Flow cells (x12),,See previous,,,,12.00,,,See earlier. 
P1000 pipette,,,,,1.00,2.00,,,"Recommend Finnipette F2 pipettes, seem more robust than the Gilson's, and lighter with less things to fall off. "
P100 pipette,,,,,1.00,2.00,,,
P10 pipette,,,,,1.00,2.00,,,
"P100 multichannel (Finnipette F2, 30-300)",,4662030,ThermoFisher,,1.00,1.00,,,"Optional, but would recommend taking multichannels to protect user's mental health."
"P10 multichannel (Finnipette F2, 1-10)",,4662000,ThermoFisher,,1.00,1.00,,,"Optional, but would recommend taking multichannels to protect user's mental health."
Minifuge (bobble),,,,,1.00,2.00,,,"Recommend taking a bobble, it's all you need for the protocols of sequencing. For sample prep, need a better solution. Take 2x attachments, both a circular rotor and a strip rotor. One plus one for redundancy. "
MiniTex (vortex),,,,,1.00,2.00,,,One plus one for redundancy. 
,,,,,,,,,
Equipment,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,
Tube racks (small),,11770045,FisherSci,£24.98 ,5.00,4.00,,,"Collapsible racks, for space saving, also takes all tube sizes apart from strip tubes. "
Tube holders (large),,11710634,FisherSci,£28.18 ,5.00,2.00,,,
USB lights,Amazon,Jebsen T05 2 Pack,Amazon,£18.59 ,2.00,2.00,,,USB charging lights for inside the hoods. 
,,,,,,,,,
Cold Storage,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,
Flat cold packs,Amazon,,,,,,,,"Soak in water and freeze prior to departure, store in the cold-box storage. Re-freeze whenever possible. "
Armor beads,,A1254301,Thermo,£279.50 ,4L,1.00,,,Ideal for keeping things cool without taking too much space. Optional though. 
Portable fridge bag,Amazon,https://www.amazon.co.uk/Mobicool-S32-DC-Thermoelectric-Cool/dp/B008N5UU3G,Mobicool DC Electric fridge bag ,£52.99 ,,1.00,,,"12V cold-bag, collapsible and insulated, maintains temp 15-20 below ambient, when paired with ice blocks should provide days of cold. "
Miniature heat block (battery),,Pad3-H-CB,Mobitec,£308.00 ,,1.00,,,Optional redundancy for failure of PCR machines. 
Cold racks (0.2-0.5mL tubes/strips),,Z606634-1EA,Sigma-aldrich,£48.20 ,,4.00,,,"Pre-freeze and store in the cold box, for use with strip tubes. "
,,,,,,,,,
Power,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,
Yeti 150 Solar Generator,,,,,,1.00,,,"Solar generator, provides 12-24 hours battery life when used in conjunction with solar charging. Primary power source. "
Yeti Flexible solar panels (Nomad-20 flexible),Amazon,https://www.outdoor365.co.uk/solar-power-packs-c80/goal-zero-nomad-20-solar-panel-p1735,Outdoor365,£169.99 ,,2.00,,,"17h to charge Yeti from empty, but ideally would use to seep-charge constantly. "
"APC mini UPS (APC Back-UPS ES 700 - Uninterruptible Power Supply 700VA, BE700G-UK, 8 Outlets, Surge protected",Amazon,https://www.amazon.co.uk/APC-Back-UPS-400-Uninterruptible-protected/dp/B002RXED6A/ref=sr_1_fkmr1_2?ie=UTF8&qid=1516641633&sr=8-2-fkmr1&keywords=apc%2Bmini%2Bups&th=1,Amazon,£98.58 ,,1.00,,,"Provides surge protection and also battery UPS redundancy for 8 hours. 4 ports for surge only, 4 ports for battery UPS."
Surge protection power boards,Amazon,https://www.amazon.co.uk/Belkin-SurgeStrip-Surge-Protected-Extension/dp/B0002AG0F2/ref=sr_1_4?s=computers&ie=UTF8&qid=1516800344&sr=1-4&keywords=surge+protector+power,,,,2.00,,,For use with multiple inputs. 
Inverter s/wave car to yeti,Amazon,https://www.amazon.co.uk/gp/product/B01N2P9V64/ref=abs_brd_tag_dp?smid=ATI6GBAAV0ETR,,,,,,,
,,,,,,,,,
IT requirements,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,
5TB external HDD,,,,,,2.00,,,"Large scale storage solution, secondary backup, recommend 2 for redundancy. "
1TB external SSD,Amazon,https://www.amazon.co.uk/Samsung-Portable-SSD-T5-1TB/dp/B074M774TW/ref=sr_1_1?s=computers&ie=UTF8&qid=1516809746&sr=1-1&keywords=external%2Bssd%2B1tb&refinements=p_n_size_browse-bin%3A10625607031&th=1,,£323 ,,1.00,,,"Primary storage solution, faster data processing. "
Offline MinKNOW,,,,,,1.00,,,"Need a PC compatible machine, recommend getting either a PC or a linux box, because it's useless and slow with Parallels."
PC-compatible machine,,,,,,1.00,,,
iPad,,,,,,1.00,,,"Note taking and protocol carrying. Not essential, and recommend paper backups of the protocols and sample lists. "
Backup machines,,,,,,,,,
,,,,,,,,,
Stationery,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,
Scissors,,,,,,1.00,,,
Permanent markers (fine),,,,,,5.00,,,
Permanent markers (medium),,,,,,5.00,,,
Standard Pens,,,,,,10.00,,,
Notebooks,,,,,,2.00,,,
Cold-resistant labels,,,,,,1000.00,,,"Recommend taking something for printing on the tubes, because handwriting is a pain. "
Duct tape,,,,,,2.00,,,
Autoclave tape,,,,,,2.00,,,
